year,mecca_avg_temp,moving_avg_mecca,global_tem,moving_avg_global,
1983,25.4,25.74928571,7.97,8.140714286,
1984,25.19,25.69714286,8.02,8.103571429,
1985,25.36,25.72571429,8.07,8.049285714,
1986,25.64,25.73357143,8.06,8.041428571,
1987,26.35,25.76,8.16,8.044285714,
1988,26.34,25.82214286,8.15,8.035714286,
1989,25.47,25.83142857,8.21,8.041428571,
1990,25.86,25.85285714,8.29,8.063571429,
1991,25.94,25.84071429,8.18,8.092857143,
1992,24.74,25.74214286,8.4,8.127142857,
1993,25.9,25.69571429,8.5,8.166428571,
1994,26.26,25.69142857,8.54,8.211428571,
1995,26.33,25.70142857,8.3,8.226428571,
1996,26.37,25.79642857,8.22,8.219285714,
1997,25.88,25.83071429,8.09,8.227857143,
1998,26.48,25.92285714,8.23,8.242857143,
1999,26.75,26.02214286,8.38,8.265,mecca
2000,26.62,26.09214286,7.95,8.257142857,0.994930573
2001,26.6,26.11,8.19,8.259285714,
2002,26.63,26.13071429,8.18,8.261428571,
2003,26.87,26.23071429,8.22,8.262142857,
2004,26.53,26.27857143,8.18,8.254285714,
2005,26.47,26.31642857,8.17,8.253571429,
2006,26.42,26.43642857,8.3,8.246428571,
2007,26.58,26.485,8.59,8.252857143,
2008,26.64,26.51214286,8.59,8.256428571,
2009,26.9,26.55285714,8.23,8.251428571,
2010,27.3,26.61928571,8.02,8.237142857,
2011,26.57,26.66857143,8.13,8.24,
2012,27.02,26.70714286,8.38,8.250714286,
2013,27.57,26.76571429,8.36,8.249285714,
